epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.65446,2.05829,5.079,1.41605,0.00969,0.07333,0.02259,0.01238,2.12534,5.03005,1.46361,0,0,0
2,3.21755,2.10206,5.09912,1.42252,0.00979,0.07333,0.02095,0.0113,2.13308,5.0386,1.46728,3.29703e-06,3.29703e-06,3.29703e-06
3,4.70752,2.11651,5.1521,1.46395,0.00987,0.07333,0.02095,0.0113,2.12979,5.03225,1.46354,6.52813e-06,6.52813e-06,6.52813e-06
4,6.06439,2.14016,5.08956,1.53421,0.02212,0.08,0.03022,0.01286,2.13384,5.03691,1.46811,9.6933e-06,9.6933e-06,9.6933e-06
5,7.58515,2.08767,5.06126,1.67695,0.02356,0.08758,0.04428,0.02855,1.8102,4.76669,1.33089,1.27925e-05,1.27925e-05,1.27925e-05
6,10.0278,1.86564,4.89998,1.36748,0.02883,0.12121,0.054,0.03843,1.63252,4.51348,1.23159,1.58258e-05,1.58258e-05,1.58258e-05
7,12.3422,1.68283,4.65203,1.25261,0.06186,0.24303,0.09013,0.04991,1.42366,4.1659,1.13701,1.87932e-05,1.87932e-05,1.87932e-05
8,15.5318,1.44507,4.43182,1.12887,0.0747,0.23806,0.09885,0.06911,1.27976,3.80418,1.07942,2.16946e-05,2.16946e-05,2.16946e-05
9,17.7942,1.29907,4.22447,1.14815,0.0252,0.19479,0.06162,0.04071,1.11891,3.52551,1.02765,2.45301e-05,2.45301e-05,2.45301e-05
10,20.224,1.21141,3.88221,1.05727,0.23563,0.12588,0.05536,0.04164,0.98435,3.27811,0.98814,2.72997e-05,2.72997e-05,2.72997e-05
11,22.2367,1.44115,3.72215,1.04718,0.02659,0.15945,0.05965,0.04357,1.12316,3.22777,1.04745,3.00033e-05,3.00033e-05,3.00033e-05
12,24.2593,1.24017,3.39688,1.0415,0.27043,0.08192,0.05431,0.03607,1.28223,3.57958,1.10505,3.2641e-05,3.2641e-05,3.2641e-05
13,26.3223,1.11544,3.18161,1.03379,0.31191,0.06325,0.06056,0.04407,1.26176,3.72434,1.09484,3.52128e-05,3.52128e-05,3.52128e-05
14,28.3142,1.14433,2.82906,1.01089,0.10499,0.22618,0.1291,0.10725,1.13147,3.93101,1.04427,3.77186e-05,3.77186e-05,3.77186e-05
15,30.5074,1.06666,2.38912,1.00598,0.14807,0.3185,0.20105,0.15855,0.94587,3.54111,0.95537,4.01585e-05,4.01585e-05,4.01585e-05
16,32.8543,1.13873,2.15244,0.9758,0.30162,0.24885,0.22338,0.1784,0.92103,3.64631,0.93345,4.25324e-05,4.25324e-05,4.25324e-05
17,35.0832,0.99071,1.90409,0.99118,0.13932,0.44762,0.26794,0.21348,0.91844,3.9822,0.93754,4.48404e-05,4.48404e-05,4.48404e-05
18,37.189,1.10781,1.70472,0.95002,0.13932,0.44762,0.26794,0.21348,0.91844,3.9822,0.93754,4.70825e-05,4.70825e-05,4.70825e-05
19,39.8768,1.06465,1.79832,0.97306,0.19347,0.41102,0.31199,0.22754,1.12534,4.53119,1.05959,4.92587e-05,4.92587e-05,4.92587e-05
20,42.0765,1.04059,1.59844,0.93853,0.19347,0.41102,0.31199,0.22754,1.12534,4.53119,1.05959,5.13689e-05,5.13689e-05,5.13689e-05
21,44.3768,1.0966,1.82867,0.94848,0.31553,0.30501,0.30552,0.19194,1.50567,5.65062,1.27384,5.34132e-05,5.34132e-05,5.34132e-05
22,46.2743,1.02057,1.5462,0.93287,0.31553,0.30501,0.30552,0.19194,1.50567,5.65062,1.27384,5.53916e-05,5.53916e-05,5.53916e-05
23,48.3082,1.18976,1.39559,1.05659,0.33858,0.49187,0.41463,0.29437,1.13242,5.05485,1.04034,5.7304e-05,5.7304e-05,5.7304e-05
24,50.4459,0.99499,1.38604,0.98779,0.33858,0.49187,0.41463,0.29437,1.13242,5.05485,1.04034,5.91505e-05,5.91505e-05,5.91505e-05
25,53.1425,1.02843,1.39655,0.95177,0.43333,0.40969,0.48071,0.37563,0.91115,4.90838,0.95687,6.0931e-05,6.0931e-05,6.0931e-05
26,55.2827,1.00646,1.28419,0.97399,0.43333,0.40969,0.48071,0.37563,0.91115,4.90838,0.95687,6.26456e-05,6.26456e-05,6.26456e-05
27,57.5524,1.02275,1.32408,0.9629,0.50567,0.46807,0.5576,0.42923,0.9455,4.3526,0.97153,6.42943e-05,6.42943e-05,6.42943e-05
28,59.7314,0.92425,1.06151,0.9562,0.50567,0.46807,0.5576,0.42923,0.9455,4.3526,0.97153,6.58771e-05,6.58771e-05,6.58771e-05
29,62.0452,0.98986,1.19594,0.94354,0.62978,0.45512,0.54279,0.38209,1.18065,4.12767,1.0654,6.73939e-05,6.73939e-05,6.73939e-05
30,63.9705,0.95002,1.03813,0.95334,0.62978,0.45512,0.54279,0.38209,1.18065,4.12767,1.0654,6.88448e-05,6.88448e-05,6.88448e-05
31,66.3569,0.96829,1.07391,0.92773,0.39975,0.60199,0.55432,0.38266,1.22659,3.43438,1.08034,7.02297e-05,7.02297e-05,7.02297e-05
32,68.2302,0.87814,0.87125,0.95111,0.39975,0.60199,0.55432,0.38266,1.22659,3.43438,1.08034,7.15487e-05,7.15487e-05,7.15487e-05
33,70.2417,0.927,0.95126,0.96645,0.48388,0.56993,0.56137,0.41772,1.0766,2.56185,1.02973,7.28018e-05,7.28018e-05,7.28018e-05
34,72.1126,0.82855,0.85048,0.95727,0.48388,0.56993,0.56137,0.41772,1.0766,2.56185,1.02973,7.39889e-05,7.39889e-05,7.39889e-05
35,74.1406,0.90115,0.95511,0.91669,0.64872,0.52254,0.60609,0.46479,1.02694,2.3224,1.00491,7.51101e-05,7.51101e-05,7.51101e-05
36,76.2835,0.96368,0.90428,0.9435,0.64872,0.52254,0.60609,0.46479,1.02694,2.3224,1.00491,7.61654e-05,7.61654e-05,7.61654e-05
37,78.8623,0.89654,0.91136,0.93723,0.57978,0.5474,0.6038,0.46417,1.02659,2.252,1.00482,7.71548e-05,7.71548e-05,7.71548e-05
38,80.8348,0.98742,0.92479,0.92368,0.57978,0.5474,0.6038,0.46417,1.02659,2.252,1.00482,7.80782e-05,7.80782e-05,7.80782e-05
39,82.8498,0.84528,0.8619,0.9366,0.46393,0.5845,0.57215,0.40707,1.18726,2.11045,1.07053,7.89357e-05,7.89357e-05,7.89357e-05
40,84.7241,0.80367,0.89674,0.89951,0.46393,0.5845,0.57215,0.40707,1.18726,2.11045,1.07053,7.97272e-05,7.97272e-05,7.97272e-05
