epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.08052,2.05829,5.079,1.41605,0.00973,0.07333,0.02259,0.01238,2.12534,5.03005,1.46361,0,0,0
2,3.63485,2.10206,5.09912,1.42252,0.00982,0.07333,0.02095,0.0113,2.13308,5.0386,1.46728,3.26407e-06,3.26407e-06,3.26407e-06
3,5.71005,2.11651,5.1521,1.46395,0.00991,0.07333,0.02095,0.0113,2.12979,5.03225,1.46354,6.39626e-06,6.39626e-06,6.39626e-06
4,7.1063,2.14016,5.08956,1.53421,0.02218,0.08,0.03022,0.01286,2.13384,5.03691,1.46811,9.39659e-06,9.39659e-06,9.39659e-06
5,8.63349,2.08767,5.06126,1.67695,0.02761,0.08758,0.04574,0.02959,1.82584,4.7748,1.33584,1.22651e-05,1.22651e-05,1.22651e-05
6,11.1372,1.87428,4.90516,1.37065,0.03163,0.13455,0.05407,0.0376,1.6628,4.52183,1.23901,1.50016e-05,1.50016e-05,1.50016e-05
7,13.6318,1.69234,4.67198,1.2574,0.05534,0.27933,0.08675,0.04709,1.46915,4.19271,1.14995,1.76064e-05,1.76064e-05,1.76064e-05
8,16.0214,1.46336,4.47729,1.13807,0.03697,0.35467,0.10711,0.06237,1.34287,3.868,1.09764,2.00792e-05,2.00792e-05,2.00792e-05
9,18.4548,1.32271,4.27123,1.15414,0.03236,0.39533,0.10368,0.0706,1.15808,3.61375,1.03917,2.24202e-05,2.24202e-05,2.24202e-05
10,21.6206,1.22633,3.92398,1.06271,0.03887,0.412,0.09771,0.07265,1.01695,3.37616,1.00683,2.46293e-05,2.46293e-05,2.46293e-05
11,24.3148,1.39206,3.74833,1.04941,0.03312,0.32867,0.0958,0.07367,1.15196,3.29213,1.05961,2.67066e-05,2.67066e-05,2.67066e-05
12,26.5359,1.22068,3.46676,1.04276,0.02611,0.282,0.09894,0.07015,1.41212,3.401,1.17554,2.8652e-05,2.8652e-05,2.8652e-05
13,28.5123,1.12097,3.27647,1.04179,0.03564,0.34381,0.12982,0.09594,1.38546,3.42535,1.15789,3.04655e-05,3.04655e-05,3.04655e-05
14,30.7512,1.16403,2.92689,1.02158,0.36518,0.25814,0.16135,0.12062,1.22158,3.38938,1.07961,3.21472e-05,3.21472e-05,3.21472e-05
15,32.9021,1.08933,2.53965,1.02082,0.4077,0.29352,0.21139,0.16366,1.00928,3.17226,0.99011,3.36969e-05,3.36969e-05,3.36969e-05
16,35.0803,1.14449,2.27834,0.97984,0.61618,0.21677,0.27086,0.20609,0.95776,3.12728,0.96943,3.51149e-05,3.51149e-05,3.51149e-05
17,37.4785,0.99725,2.00488,0.99596,0.48012,0.3328,0.30211,0.23387,0.94035,3.30853,0.95929,3.64009e-05,3.64009e-05,3.64009e-05
18,40.1906,1.11775,1.77693,0.95983,0.48012,0.3328,0.30211,0.23387,0.94035,3.30853,0.95929,3.75551e-05,3.75551e-05,3.75551e-05
19,42.383,1.06608,1.88993,0.97369,0.39524,0.42277,0.32268,0.23348,1.00462,3.45398,0.99679,3.85774e-05,3.85774e-05,3.85774e-05
20,44.9803,1.0451,1.68971,0.93919,0.39524,0.42277,0.32268,0.23348,1.00462,3.45398,0.99679,3.94678e-05,3.94678e-05,3.94678e-05
21,47.209,1.12437,1.93059,0.95235,0.50938,0.32731,0.30066,0.19979,1.41188,4.36447,1.19616,4.02264e-05,4.02264e-05,4.02264e-05
